"","x"
"141",601772111.108536
"142",4106011.04432145
"143",2850160.21049661
"144",2325739440.22811
"145",5590.13697286475
"146",264866.437537371
"147",4246372766.35206
"148",27090773.2321446
"149",1028801190.12818
"150",127874.916837898
"151",9877.76576171853
"152",50793638.4658695
"153",3103.55656998622
"154",45088.9314410242
"155",606124.976345906
"156",23712499.1135906
"157",30899519833.2526
"158",27639283.7481714
"159",11247003.6330539
"160",1256.12855314258
"161",49.2842258344888
"162",454724483.626475
"163",3987665.00769809
"164",141107963138.347
"165",2399179.26531991
"166",6550373.8879014
"167",229001.388390415
"168",28142.7743165727
"169",14401354.0061303
"170",10927.3853817454
"171",473189.170852161
"172",569280.645143984
"173",20247613027.4786
"174",20256.3168132105
"175",5625.307404268
"176",336205.373970239
"177",2878610.5566331
"178",706.462885808465
"179",64534715.3732558
"180",25867717542994
"181",167585727032.361
"182",13090.8390045977
"183",20180.7394694826
"184",548468.141476598
"185",249.284948752889
"186",0.752336706252944
"187",389649.254142601
"188",460055894.60941
"189",9365580.50857853
"190",4760319927.0368
"191",1186740509.46537
"192",384193439203.915
"193",13043994.1978669
"194",27795.9547170577
"195",9885.97555190851
"196",60487.846356312
"197",997354289.149384
"198",5782057427.21306
"199",364554.472234328
"200",2343052.57705687
"201",259279994.614678
"202",385710290.751614
"203",304487975.052101
"204",23670839.0784688
"205",1024170.85344503
"206",25006948.6098522
"207",73419266.3046945
"208",12331148.623826
"209",1944558.45726852
"210",11901230.8772495
"211",10243823.3892826
"212",3540899141.66215
"213",6413902.14575455
"214",5041398.41589793
"215",19541483.9469679
"216",451094.913423283
"217",64205.0081563196
"218",20555191.3076885
"219",1233456344.04515
"220",474219430788.794
"221",596121346.809281
"222",33022903567.7389
"223",4071757.81057556
"224",19418840.6021542
"225",27546541116.0047
"226",1120089.69825748
"227",430.703641133907
"228",134527.359949462
"229",64585202538.4067
"230",4471824015394.65
"231",432860098.757121
"232",42869350550.7202
"233",314052442.850294
"234",68.8739008650768
"235",2349976.5869426
"236",92688271560.7764
"237",12377715412.8054
"238",6005400834.8227
"239",568133525.578863
"240",7055958.7092508
"241",41329254.1963298
"242",8574623.1589122
"243",17579546.2360354
"244",5103.08837292525
"245",18991349.1479585
"246",2380640.01220704
"247",14685144471.9094
"248",483447.052707332
"249",31869.5341925555
"250",18798.8059679372
"251",2164.13128933715
"252",34110.8588978795
"253",164005.223839607
"254",36624561.4590913
"255",10613729.1534376
"256",2942906.30926101
"257",296354300.326422
"258",115441831.558146
"259",37598664.4342066
"260",14600519805.3395
"261",10019941622033.6
"262",25604.0706740512
"263",2091.71547717569
"264",3009000041.89362
"265",32003161.9526034
"266",288053458.621877
"267",17587.2400757134
"268",125929920.811115
"269",436260.72899968
"270",8065876.5502837
"271",257688.158011497
"272",5825739.12691244
"273",45716863.5277857
"274",127888188.071438
"275",87576033.1782164
"276",323083723.943498
"277",219325549.000137
"278",117393.296891725
"279",76883691.1011236
"280",12791364.0747572
"281",26068148813.0402
"282",189076050.420128
"283",4913.03280131494
"284",195466.1501707
"285",564271.763271242
"286",10655113691932.5
"287",4346256.77508591
"288",3739257.80465899
"289",16687411.9464047
"290",2630947398.59001
"291",59513206.4894488
"292",64467535.4887847
"293",50176567.2924139
"294",1182368.55381176
"295",165587280066.53
"296",24153182.1273149
"297",150452726299296
"298",18146637.8319486
"299",78924122.4341382
"300",1170.28553054493
